Session Code,Product,Topic,Disclaimer,Session Data Update,Title,Abstract,Track,Type,Delivery,Times Offered
1461,Tableau Desktop,Visualization,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,Skinning Snakes: Python and TabPy for Qualitative Data,"Ready to unlock hidden stories in your survey responses and customer feedback? In this session, we dive into the combination of Tableau and TabPy for quantitative analysis of qualitative data.",Developer,Theater,In-Person,1
1611,Tableau Desktop,Visualization,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,Practical Guide for Guided Analytics,"Learn to craft snappy, engaging dashboards. This session offers actionable tips to combine interactivity, design, and performance, creating guided analytics users love. Unlock next-level insights.",Tableau,Breakout,In-Person,1
1398,Tableau Desktop,"DataFam,Visualization","This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,Design Hacks with Mathematical Functions,"Blend art and science as you harness modulo, mathematical, and Boolean functions to design your visualizations, answering the question, “When will I use this?” The time is now!",Developer,Theater,"In-Person,VOD",2
1255,"Tableau Cloud,Tableau Next,Tableau Server",Data Strategy,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,Building the Tableau Business Case Over Power BI,"Overview of key competitive differentiators of Tableau, best practices on how to build a strong business case, and tips and tricks on how to partner with Salesforce to grow your Tableau practice.",Thought Leadership,Breakout,"In-Person,VOD",2
1944,"Developer Tools & APIs,Embedded Analytics",Analytics,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,From Playground to Production: Embedded Tableau Basics,"Explore Embedded Analytics. Meet Tableau’s Embedding Playground and learn how to leverage JavaScript to embed Tableau analytics into your websites and apps.
",Developer,Hands-on Training,In-Person,3
1037,"Tableau Cloud,Tableau Server",Data Strategy,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,Big Data Issues? Dive Deep for Data Architects New 2 Tableau,Are you pushing many GBs of data into Tableau Server/Cloud but worried about performance and costs? Optimise architecture (including Data Cloud) and data pipelines from Tab UX to underlying SQL.,Tableau,Breakout,In-Person,2
1391,"Tableau Desktop,Tableau Prep",Data Strategy,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,Turn Trash into Treasure: The Road to Quality Data,Have you ever struggled with poor data quality? Learn how a data team partnered with stakeholders in their call center to drive best practices that resulted in better quality data and insights.,Customer Marketing,Theater,In-Person,2
1882,"Developer Tools & APIs,Tableau Cloud,Tableau Next",Visualization,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,Get Ready for Premium Viz Extensions,"Be amazed how premium Viz Extensions can supercharge Tableau. Add new visualizations, Excel-like tables, write-back functionalities, PowerKPIs, and much more. Stay in the flow and take action.",Sponsors,Theater,In-Person,1
1151,Tableau Desktop,Data Model,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,Mastering Multi-Fact Relationships,"Understand how to arrange tables in your data model, discover how your data is joined behind the scenes, and learn about stitching fields. Get caught up before more releases in data modeling appear.",Tableau,Breakout,In-Person,1
1939,"Developer Tools & APIs,Tableau Desktop,Tableau Exchange","Integration,Visualization","This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,Build Your Own Viz Type: Developing a Custom Viz Extension,"Get hands-on and build a viz extension. Perfect for our developer audience, this session offers a deep dive into design considerations and the available APIs toward building a custom viz extension.",Developer,Hands-on Training,In-Person,3
1977,Agentforce,Analytics,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,What Analysts Should Know About Tableau Next,"Explore the evolving role of analysts in the emerging agentic landscape, focusing on how Tableau Next aims to enhance and scale their capabilities through its innovative strategy and vision.
",Community,Theater,In-Person,2
1018,Tableau Prep,"Data Model,Visualization","This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,Tableau Speed Tipping: Prep Edition,"Join us for essential tips, tricks, and shortcuts for faster, more efficient data processing with Tableau Prep, accelerating your data preparation & empowering you to deliver insights in record time.",Tableau,Breakout,In-Person,1
1218,Tableau Prep,"DataFam,Visualization","This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,Visualizing Survey Data Using Tableau,Kickstart your organization’s ability to glean insights from survey data by attending this session led by the world’s leading expert in visualizing survey data with Tableau.,Tableau,Breakout,In-Person,1
1838,"Tableau Cloud,Tableau Desktop","Careers,DataFam","This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,Command Your Career: Become a High-Value Tableau Developer,"Secure high-paying Tableau contracts with ease. Learn how to showcase your expertise, justify premium rates, position Tableau as the must-have analytics tool, and create a lasting impact.",Community,Breakout,In-Person,1
1849,"Tableau Cloud,Tableau Server","DataFam,Democratization","This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,The Secret Life of Dashboards: What Usage Data Can Teach You,"Uncover hidden stories in Tableau usage data. Learn how to analyze user behavior, optimize dashboards, and deliver effective insights by leveraging server metrics and usage patterns.",Tableau,Theater,In-Person,1
1678,"Tableau Cloud,Tableau Next,Tableau Pulse","Data Culture,Democratization","This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,"Drive Success, Culture, and Collaboration with Tableau Pulse","Learn how Virgin Media O2 unlocked real-time Black Friday insights with Tableau Pulse, empowering teams to act fast, collaborate seamlessly, and build a data-driven culture that fuels success.",Customer Marketing,Breakout,"In-Person,VOD",1
1331,Tableau Agent,"Artificial Intelligence,DataFam","This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,Build AI Literacy for Today and Tomorrow,AI literacy at all levels of an organization is necessary as we move into the agentic AI era. Learn key elements for individuals and organizations to develop these crucial skills.,Tableau,Theater,In-Person,1
1924,"Tableau Agent,Tableau Cloud,Tableau Desktop",Analytics,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,Intro Calcs: Finding Airspeed Velocity of an Unladen Swallow,Join our Quest to understand the fundamentals of calculations in Tableau. We will be focusing on basic expressions you need to answer the five or three questions required to cross the Bridge of Death.,Tableau,Hands-on Training,In-Person,4
1623,Tableau Desktop,"Careers,DataFam","This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,The Secrets to Growing Great Data People,"Learn key strategies to recruit, develop, and train top data talent while building a diverse, high-performing team set up for success in Tableau and beyond.",Thought Leadership,Theater,"In-Person,VOD",1
1277,"Tableau Desktop,Tableau Public","DataFam,Visualization","This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,Tableau Meets Comics: Data Storytelling Reimagined,Breaking free from traditional data visualization. Learn how to integrate comic storytelling principles and techniques into your dashboards to create dynamic and engaging dashboards.,Tableau,Breakout,In-Person,1
1807,Tableau Desktop,"DataFam,Visualization","This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,Ask Us Anything: Tackling Your Toughest Challenges LIVE,"Join us for a high-energy session covering common pitfalls and mind-bending questions from more than four years of Tableau Live sessions. Plus, we’ll solve some of your thorniest challenges live.",Tableau,Breakout,In-Person,2
1250,Tableau Agent,"Artificial Intelligence,Careers","This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,Overcome Imposter Syndrome and Thrive with AI,Feeling like an imposter? Get tips and tools to build confidence in your data skills to harness AI and start solving complex business challenges in Tableau.,Community,Theater,In-Person,1
2256,"Tableau Cloud,Tableau Pulse","Artificial Intelligence,Data Strategy","This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,Scaling Analytics with Tableau Pulse,"See how PagerDuty is transforming Analytics for different personas by introducing Tableau Pulse metrics, allowing analysts to ask questions about their KPIs.",Ind:Technology,Theater,In-Person,1
1912,Tableau Agent,Analytics,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,Give Your Analytics an Agentic Edge with Tableau Agent,"Boost your analytics with AI. Use Tableau Agent to draft data source descriptions, create calculated fields, and build views — all with natural language. Smarter insights, less effort.",Tableau,Hands-on Training,In-Person,4
1979,Tableau Next,"Analytics,Data Strategy","This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,Democratize Executive Reporting with Tableau Next,"Tableau Next enables executives to “talk” with their data: They can use insights and metrics to make the right decisions in their flow of work, without depending on analysts to build reports.",Partners,Theater,"In-Person,VOD",1
1987,Tableau Next,Analytics,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,Beyond BI: Agentic AI Is Changing the Future of Analytics,"Agentic AI is redefining analytics, making insights faster, smarter, and more intuitive. More people can harness data effortlessly without sacrificing trust. Join us to learn more.",Thought Leadership,Breakout,"In-Person,VOD",1
1257,Tableau Desktop,"DataFam,Visualization","This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,Earn Your Geospatial Stripes,"Join two mapmaking connoisseurs for an exciting deep dive into Tableau’s geospatial capabilities—filled with practical tips, design best practices, and inspiration for your next map.",Tableau,Breakout,In-Person,1
1387,Tableau Desktop,"Data Culture,DataFam","This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,Let’s Get to Work ... Building the Ultimate Data Hub,"Discover how our custom-built data portal, developed in Tableau, centralizes KPIs, certifies dashboards, and unifies metrics to drive trusted, data-driven decisions across your organization.",Developer,Breakout,In-Person,1
1160,"Tableau Desktop,Tableau Pulse","Analytics,Thought Leadership","This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,Boost Your Analytics Ecosystem with These Tableau Pulse Tips,"Learn how to unlock the potential of Tableau Pulse with actionable tips to help you spot great use cases, integrate Pulse into your analytics environment, and maximize Pulse capabilities.",Tableau,Theater,In-Person,2
1737,"Tableau Cloud,Tableau Desktop,Tableau Pulse",Salesforce on Tableau,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,Salesforce on Tableau: How Salesforce Uses Tableau to WIN,"Salesforce’s sales strategy org runs on Tableau; everybody has data and vizzes that run their business on a daily basis. In this session, we’ll show how we built a culture that truly runs on data.",Tableau,Theater,"Broadcast,In-Person,VOD",2
1930,Tableau Catalog,Data Governance,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,The Secret Life of Data: Tableau Catalog and Metadata API,"Join this hands-on session on Tableau Catalog (part of the Data Management add-on) and the Metadata API. Learn to govern, navigate, and analyze your data with lineage and impact analysis.",Tableau,Hands-on Training,In-Person,4
2001,Tableau Next,Artificial Intelligence,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,Predictive and Prescriptive Insights in Tableau Next,Predictive and Prescriptive Insights are available in Tableau Next - including the ability to bring your own models. Join this session to learn how.,Tableau,Breakout,In-Person,2
1913,"Tableau Cloud,Tableau Desktop,Tableau Server","Analytics,Visualization","This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,Navigator’s Intro to Mapping: From Clueless to Cartographer,"New to Tableau mapping? We’ll help you chart the course. Expect puns like “latitude is my attitude” & learn how to put data on the map, literally. No compass needed, just a data-driven sense of humor.",Tableau,Hands-on Training,In-Person,4
1638,Tableau Cloud,Data Culture,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,Data Literacy Programs That Supercharge Analytics ROI,Maximizing the measurable ROI from analytics requires a data literate workforce. Learn real tactics to build your organization’s data literacy and culture to levels that enable best-in-class results.,Ind:Health and Life Sciences,Breakout,In-Person,1
1903,"Tableau Cloud,Tableau Server",Data Governance,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,Surf’s Up: An Admin’s Guide to Monitoring and Governance,"Be a RAD admin. Explore best practices for monitoring user activity and data governance to keep your deployment fast, efficient, and secure. This session is for cloud and server admins.",Administrator,Hands-on Training,In-Person,3
1580,Tableau Pulse,"Analytics,Data Strategy","This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,Create a Tableau Pulse Implementation Plan,"Tableau Pulse requires specialized planning. Using hypothetical Pulse environments, identify ideal use cases, and create perfect data sources to make the most of this reimagined data experience.",Tableau,Breakout,In-Person,2
1925,Tableau Desktop,Analytics,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,The Final Exam: Master the Challenge Workbook,"Think you’re a Tableau expert? Take on the ultimate challenge for elite Tableau users with complex logic, advanced calculations, and mind-bending data puzzles. Are you ready for The Final Exam?",Tableau,Hands-on Training,In-Person,4
1952,Tableau Agent,"Analytics,Artificial Intelligence","This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,Sneak Peek Tableau Next — Actions in Agent Builder,Come join this opportunity to build agents and setup actions in Tableau Next.,Agentforce,Hands-on Training,In-Person,4
1173,Tableau Public,"Careers,DataFam","This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,Build a Winning Data Viz Portfolio (and Get That Job),"No matter where your data visualization portfolio is at, you'll leave this session with actionable steps to give your Tableau Public portfolio that wow factor and accelerate your analytics career.",Community,Theater,"Broadcast,In-Person,VOD",1
1059,"Tableau Agent,Tableau Cloud,Tableau Prep",Analytics,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,Simplify Data Prep with Tableau Agent,"Learn how Tableau Agent in Tableau Prep simplifies data prep. From pivots to advanced calculations, discover how Agent empowers analysts of all levels. Plus, get an exclusive look at the roadmap.",Tableau,Breakout,In-Person,2
1980,"Tableau Cloud,Tableau Next,Tableau Semantics","Analytics,Data Model","This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,Introducing Tableau Semantics,"Discover how Tableau Semantics in Data Cloud powers agentic AI with trusted, context-rich data, enhances governance and access, and accelerates time to insight.",Data Cloud,Breakout,"Broadcast,In-Person,VOD",1
1942,"Developer Tools & APIs,Embedded Analytics",Integration,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,"Build, Automate, and Scale: A Tableau REST API Deep Dive",Postman account required.,Developer,Hands-on Training,In-Person,4
2008,Tableau Cloud,"Data Strategy,Integration","This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,Extending Tableau for Enhanced Clinical KPI Reporting,"In this session, we will explore the journey of transforming a legacy application that calculates bonuses for over 10,000 physicians based on complex clinical KPIs.",Ind:Health and Life Sciences,Theater,"In-Person,VOD",2
1598,Tableau Public,"DataFam,Visualization","This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,Let’s Play! Using Creative Projects to Build Your Skills,"Tap into your inner creativity and get ready to see Tableau Public as your playground. Discover the transferable benefits of creative projects, with tips to start crafting meaningful visualizations.",Tableau,Theater,In-Person,1
1586,"Tableau Desktop,Tableau Prep,Tableau Public",Visualization,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,"Emergency! Tableau Dashboard Needed, STAT!","From the COVID-19 pandemic to the wildfire on Maui, learn how the Hawaii State Department of Education leveraged Tableau during emergencies to aid internal planning and provide public transparency.",Ind:Public Sector,Breakout,"In-Person,VOD",2
1900,"Tableau Cloud,Tableau Server",Data Governance,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,Let’s Get Wheel: Steering Governance for Beginner,"Explore the basics of Tableau governance, including permissions and folder structure.",Administrator,Hands-on Training,In-Person,4
1789,"Developer Tools & APIs,Tableau Cloud,Tableau Next","Analytics,Artificial Intelligence","This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,Make Agentforce Data-Driven with Tableau,Discover the business value of exposing Tableau-published data sources to Agentforce and integrating Tableau insights into agents.,Tableau,Theater,In-Person,2
1541,Tableau Prep,"Artificial Intelligence,DataFam","This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,"Prep Smarter, Not Harder: Tableau Agent for Prep Flows","Discover how to leverage Tableau Agent for your Tableau Prep flows, making data cleaning and transformation seamless and accessible for everyone in your organization.",Tableau,Theater,"In-Person,VOD",2
1960,Tableau Next,Analytics,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,Agentic AI for Analysts with Tableau Next’s Data Pro Skill,"Come learn how Tableau Next empowers analysts to answer ad-hoc questions and turn data into insights using the power of semantics, visual exploration, and agents.",Agentforce,Theater,"In-Person,VOD",2
1150,Tableau Cloud,Analytics,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,Stay in the Workflow with Tableau and (Viz) Extensions,Leverage your Tableau experience and connect your dashboard interactions to workflows by using a Viz Extension.,Partners,Theater,In-Person,1
1776,Tableau Public,"DataFam,Thought Leadership","This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,Ten-Minute Tableau: Rapid Insights from DataFam’s Best,Catch favorite “aha” moments and highlights from the podcast “Ten Minute Tuesday” — featuring career insights and tips from Tableau’s top contributors to help you grow and skill up.,Community,Theater,"In-Person,VOD",1
1530,"Tableau Cloud,Tableau Desktop,Tableau Pulse","Data Culture,Thought Leadership","This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,Drive Your Tableau Investment to an Exciting Data Culture,"Discover how to use Tableau Cloud, Desktop, Prep, and Pulse to create a modern data environment that accelerates data-driven decisions and lays the groundwork for future AI insights.",Thought Leadership,Breakout,In-Person,1
1946,"Developer Tools & APIs,Embedded Analytics,Tableau Agent","Analytics,Artificial Intelligence","This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,Tableau for AI Developers,"Learn how to integrate Tableau’s governed insights into AI agents to deliver rich, actionable analytics experiences. Dive into agentic AI and explore Tableau APIs for embedding insights seamlessly.",Developer,Hands-on Training,In-Person,3
1219,Developer Tools & APIs,"Data Strategy,Integration","This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,VizQL and Chill,"Redefine the Tableau Server user experience by leveraging VizQL — creating a more intuitive, user-friendly way to find dashboards, leading to a boost in adoption at scale.",Developer,Breakout,In-Person,2
1269,"Developer Tools & APIs,Tableau Cloud",Security,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,Automate Tableau Cloud Backups with Python and REST API,"Discover how to build a Python-based solution leveraging Tableau REST API to automate daily backups of workbooks, data sources, metadata, and more.",Developer,Breakout,In-Person,2
1394,Tableau Pulse,Democratization,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,Tableau Pulse Roadmap,Learn about the value the new innovations in Tableau Pulse on Tableau Cloud that empower business users in your organization to proactively get ahead of issues and take action.,Tableau,Breakout,"In-Person,VOD",2
1110,Developer Tools & APIs,Integration,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,Blow Your Developer Mind with Embedded AI,Step up your development game. This session shows how to use AI-powered Pulse metrics with custom React theming and Tableau’s new headless BI API to integrate with LLMs.,Tableau,Breakout,In-Person,2
1627,Tableau Next,Thought Leadership,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,Actionable Insights with Tableau Next and Agentforce,"See how ANZ Plus are delivering a new AI-driven experience for its bankers and business leaders through Tableau Next, leveraging the Einstein Semantic Layer and the Agentforce platform.",Agentforce,Breakout,"In-Person,VOD",2
1625,"Tableau Desktop,Tableau Prep","Data Model,Visualization","This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,Taming the Data Beast: Normalization Strategies in Tableau,Discover the power of data normalization in Tableau to unlock insights. Learn how to clean and structure your data to drive informed decision-making across your business.,Tableau,Breakout,In-Person,1
1902,Tableau Cloud,Analytics,"This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,"Exploring Tableau Cloud: Your Data, Anywhere","Learn to access Tableau Cloud, build and publish dashboards, set alerts, and manage permissions. Gain hands-on experience with data visualization and collaboration to turn insights into action.",Administrator,Hands-on Training,In-Person,3
1656,"Tableau Desktop,Tableau Public","DataFam,Visualization","This data is subject to Salesforce's Forward Looking Statements and should not be used to make investment decisions. Event sessions, times, speakers, and locations are subject to change. Please use the Salesforce Events App to get the latest updates on Tableau Conference.",4/11/2025 4:22:00 PM,The 2025 Tableau Community Awards: The Vizzies,"Join us for the 10th annual Vizzies award show as we recognize outstanding members of the Tableau Community, voted by the community, in 15 categories, including best designer, favorite viz, and more.",Community,Breakout,"Broadcast,In-Person,VOD",1
