id,title,date,start_time,end_time,session_slot,topic,description
1035_slot1,"Dashboard Standards Simplified: Define, Document, Deliver",2025-04-17,14:30,15:10,14:30 - 15:10,"DataFam, Visualization","Learn best practices to standardize dashboards for consistency and clarity. Simplify development, reduce rework, and implement standards to minimize risks and ensure data accuracy and reliability."
2264,Data + Women Meetup,2025-04-15,11:00,11:45,11:00 - 11:45,,"Join Data + Women to share stories, make connections, and recognize the amazing women (and allies who elevate them) in the data community!"
8000,Data and Analytics for the Agentic Era,2025-04-15,10:00,11:00,10:00 - 11:00,Artificial Intelligence,Join DataFam as we kick off the data event of the year. Hear from thought leaders who are shaping the future of analytics. Discover how Tableau is changing the game with innovations like Agentforce.
2270,Data Careers Meetup,2025-04-16,08:00,08:45,8:00 - 8:45,,Are you an aspiring data professional? Want to break into the world of data? Looking to advance your career? Join the Data Careers Meetup to network and learn from experts in their field.
1638,Data Literacy Programs That Supercharge Analytics ROI,2025-04-16,12:00,12:40,12:00 - 12:40,Data Culture,Maximizing the measurable ROI from analytics requires a data literate workforce. Learn real tactics to build your organization’s data literacy and culture to levels that enable best-in-class results.
1929_slot0,Data Modeling 201: Next Level Relationship Advice,2025-04-15,12:00,13:30,12:00 - 13:30,"Data Model, Data Strategy","New Tableau Semantic functionality expands data model capabilities beyond Data Modeling 101 — multi-fact analysis, shared dimensions, and composable data sources."
1929_slot1,Data Modeling 201: Next Level Relationship Advice,2025-04-16,14:30,16:00,14:30 - 16:00,"Data Model, Data Strategy","New Tableau Semantic functionality expands data model capabilities beyond Data Modeling 101 — multi-fact analysis, shared dimensions, and composable data sources."
1929_slot2,Data Modeling 201: Next Level Relationship Advice,2025-04-17,08:00,09:30,8:00 - 9:30,"Data Model, Data Strategy","New Tableau Semantic functionality expands data model capabilities beyond Data Modeling 101 — multi-fact analysis, shared dimensions, and composable data sources."
1929_slot3,Data Modeling 201: Next Level Relationship Advice,2025-04-17,12:00,13:30,12:00 - 13:30,"Data Model, Data Strategy","New Tableau Semantic functionality expands data model capabilities beyond Data Modeling 101 — multi-fact analysis, shared dimensions, and composable data sources."
1492_slot0,Data Nerd to People Manager: Tips for Success,2025-04-15,08:00,08:20,8:00 - 8:20,Thought Leadership,Transitioning from managing data to managing people means balancing leadership with hands-on technical skills. I'll share my journey on making a bigger impact while staying true to my roots in data.
1492_slot1,Data Nerd to People Manager: Tips for Success,2025-04-17,14:15,14:35,14:15 - 14:35,Thought Leadership,Transitioning from managing data to managing people means balancing leadership with hands-on technical skills. I'll share my journey on making a bigger impact while staying true to my roots in data.
8500,Data Night Out at The Rady Shell at Jacobs Park,2025-04-16,18:00,21:00,18:00 - 21:00,,"Data Night Out is the official celebration of Tableau Conference, bringing together the DataFam for an amazing night of entertainment, networking, food, and fun."
2265,Data Pride Meetup,2025-04-15,12:00,12:45,12:00 - 12:45,,Join the Data Pride Meetup to connect with other attendees who belong to the LGBTQIA+ community. Allies welcome!
1404,Data Remixed for Social Good: Powered by the DataFam,2025-04-15,16:30,17:10,16:30 - 17:10,"Analytics, DataFam","What do you get when you combine data sonification, Salesforce cloud technology, Tableau dashboards, digital storytelling, and social impact with the global DataFam? Come find out and get inspired."
1240,Data That Saves Lives: Using Analytics for Shelter Animals,2025-04-16,08:45,09:05,8:45 - 9:05,"DataFam, Visualization","Learn how Shelter Animals Count, established in 2012, built a trusted data source to drive informed decisions, boost community engagement, attract funding, and improve outcomes in animal welfare."
2015,"Data, AI, and Analytics: Financial Services Roundtable",2025-04-15,15:30,16:30,15:30 - 16:30,Artificial Intelligence,"Join your financial peers to share challenges, gain insights, and discuss data strategies. As AI reshapes the financial industry, future-proofing your data investments is more important than ever."
1382,Data-Driven Decision with Tableau Agent and Salesforce,2025-04-17,09:00,09:40,9:00 - 9:40,Salesforce on Tableau,From data to decision: Converge ICT’s journey with Tableau AI and Salesforce.
1419,Data-Driven Equity: Aligning Aspirations to Access,2025-04-16,14:30,15:10,14:30 - 15:10,"Equality, Visualization","Explore survey data through Tableau to uncover equity gaps and drive solutions. Analyze responses, compare aspirations and outcomes, and develop strategies for effective change across sectors."
1535_slot0,Data-Driven Warehouse Optimization at Toyota,2025-04-15,13:30,14:10,13:30 - 14:10,Visualization,"Explore innovative Tableau dashboards visualizing warehouse travel paths (actual and simulated), heat maps, and 3D walkthroughs. Discover actionable insights that reduce costs and optimize workflows."
1535_slot1,Data-Driven Warehouse Optimization at Toyota,2025-04-17,08:30,09:10,8:30 - 9:10,Visualization,"Explore innovative Tableau dashboards visualizing warehouse travel paths (actual and simulated), heat maps, and 3D walkthroughs. Discover actionable insights that reduce costs and optimize workflows."
1875,Databricks: The Secret Sauce for Tableau Analysts,2025-04-16,11:00,11:40,11:00 - 11:40,"Analytics, Data Strategy","Supercharge Tableau with Databricks—the secret ingredient for faster queries, seamless big data integration, and AI-powered insights. Take your analytics to the next level with this game-changing duo."
2011,DataDev Quest Workshop,2025-04-16,08:00,09:30,8:00 - 9:30,"DataFam, Integration",Join our DataDev Quest team and learn how use APIs and developer tools through challenges driven by our team. Beginner to intermediate levels.
1327,DataFam Tip Battle,2025-04-16,12:30,13:10,12:30 - 13:10,"DataFam, Visualization",Who will claim the top spot in the fourth annual DataFam Tipping Battle? Watch as Tableau Community members showcase their top tips and tricks. Then cast your vote to determine the winner.
8006,Decoding Data with Steve Kornacki,2025-04-17,13:00,13:45,13:00 - 13:45,,"Join National Correspondent for NBC News Steve Kornacki as he explores how data analysis shapes narratives, drives decisions, reveals trends, and makes complex information engaging and accessible."
1989_slot0,Deliver Insights for Everyone with Tableau Next,2025-04-15,12:15,12:35,12:15 - 12:35,Artificial Intelligence,"Join us to explore how you can scale with Tableau Next Concierge and Inspector, leveraging AI and Agentforce to empower everyone with trusted, intelligent, on demand, and contextual business insights."
1989_slot1,Deliver Insights for Everyone with Tableau Next,2025-04-17,13:15,13:35,13:15 - 13:35,Artificial Intelligence,"Join us to explore how you can scale with Tableau Next Concierge and Inspector, leveraging AI and Agentforce to empower everyone with trusted, intelligent, on demand, and contextual business insights."
1036,Delivering Data Products for a Major Australian Bank,2025-04-17,09:00,09:40,9:00 - 9:40,"Data Culture, Democratization",We are seeing a growing trend in building foundational and business self-service data products that support business decision-making. What are the considerations that drive wider Tableau adoption?
1979,Democratize Executive Reporting with Tableau Next,2025-04-16,09:00,09:20,9:00 - 9:20,"Analytics, Data Strategy","Tableau Next enables executives to “talk” with their data: They can use insights and metrics to make the right decisions in their flow of work, without depending on analysts to build reports."
1561,Democratizing BI: Semantic SQL with Minerva,2025-04-15,16:00,16:40,16:00 - 16:40,Data Strategy,"Discover how we integrated Minerva, its metric platform and semantic layer, into SQL and created a single source of truth for all data consumers."
1810,Demystifying Energy Complexity in Hawaii,2025-04-16,14:15,14:35,14:15 - 14:35,Customer Relationships,"Hawaii sits at a crossroads of meeting today’s energy challenges, achieving decarbonization goals, and preserving cultural practices. Creative data storytelling may be the key to unlocking all three."
1398_slot0,Design Hacks with Mathematical Functions,2025-04-16,14:30,14:50,14:30 - 14:50,"DataFam, Visualization","Blend art and science as you harness modulo, mathematical, and Boolean functions to design your visualizations, answering the question, “When will I use this?” The time is now!"
1398_slot1,Design Hacks with Mathematical Functions,2025-04-17,09:30,09:50,9:30 - 9:50,"DataFam, Visualization","Blend art and science as you harness modulo, mathematical, and Boolean functions to design your visualizations, answering the question, “When will I use this?” The time is now!"
1760_slot0,Design KPI Dashboards That Steal the Show,2025-04-16,09:00,09:20,9:00 - 9:20,"DataFam, Visualization","Design KPI-driven dashboards that inform, spark curiosity, and drive action. Learn to tailor them for CEOs, sales directors, and decision-makers to track and analyze business performance effectively."
1760_slot1,Design KPI Dashboards That Steal the Show,2025-04-17,14:30,14:50,14:30 - 14:50,"DataFam, Visualization","Design KPI-driven dashboards that inform, spark curiosity, and drive action. Learn to tailor them for CEOs, sales directors, and decision-makers to track and analyze business performance effectively."
1793,Design Your Career and Drive Change with Tableau Public,2025-04-15,15:30,16:10,15:30 - 16:10,"DataFam, Visualization","Tableau Public gives you the platform, but how can you leverage it to power your career? Learn to build your skills, connect with the DataFam, and showcase your work to attract opportunities."
1280_slot0,Designing Efficient Workbooks 101,2025-04-16,09:30,09:50,9:30 - 9:50,"Analytics, Visualization","Learn concepts and best practices behind performant workbooks including data prep, design considerations, calculations, and more. Plus, leave with a design checklist to keep the momentum going."
1280_slot1,Designing Efficient Workbooks 101,2025-04-16,14:00,14:20,14:00 - 14:20,"Analytics, Visualization","Learn concepts and best practices behind performant workbooks including data prep, design considerations, calculations, and more. Plus, leave with a design checklist to keep the momentum going."
8007,Devs On Stage,2025-04-16,10:00,10:45,10:00 - 10:45,Visualization,Devs are back on stage. See Tableau’s dev team demo the latest features and upcoming innovations you’ve been asking for. Don’t miss the energy and excitement of this fun main stage event.
1333_slot0,Diverse Analytics Using Tableau Multi-Fact Relationship,2025-04-16,08:00,08:40,8:00 - 8:40,Data Model,"Learn how to apply Tableau semantics on complex datasets to answer sophisticated questions, from common multi-fact analyses to disparate data where you need to uncover potential causal relationships"
1333_slot1,Diverse Analytics Using Tableau Multi-Fact Relationship,2025-04-17,15:00,15:40,15:00 - 15:40,Data Model,"Learn how to apply Tableau semantics on complex datasets to answer sophisticated questions, from common multi-fact analyses to disparate data where you need to uncover potential causal relationships"
1049,Do It in Public,2025-04-15,15:15,15:35,15:15 - 15:35,"Analytics, Careers","Discover how Progressive Insurance empowers employees with Tableau Public, helping them advance their careers through data analysis skills. Learn how to create the same impact in your organization."
1959,Drive Analyst Productivity with Tableau Next Marketplace,2025-04-16,11:30,11:50,11:30 - 11:50,Analytics,"Enable analysts to create and share reusable analytics components to drive productivity, consistency, and collaboration within their enterprise."
1971_slot0,Drive Revenue Now with Tableau Next for Financial Services,2025-04-15,15:45,16:05,15:45 - 16:05,Data Strategy,Discover how Tableau Next empowers financial analysts to drive significant business value by delivering actionable cross-selling insights with reusable and extensible components and semantic AI.
1971_slot1,Drive Revenue Now with Tableau Next for Financial Services,2025-04-17,12:45,13:05,12:45 - 13:05,Data Strategy,Discover how Tableau Next empowers financial analysts to drive significant business value by delivering actionable cross-selling insights with reusable and extensible components and semantic AI.
1678,"Drive Success, Culture, and Collaboration with Tableau Pulse",2025-04-15,08:30,09:10,8:30 - 9:10,"Data Culture, Democratization","Learn how Virgin Media O2 unlocked real-time Black Friday insights with Tableau Pulse, empowering teams to act fast, collaborate seamlessly, and build a data-driven culture that fuels success."
1530,Drive Your Tableau Investment to an Exciting Data Culture,2025-04-15,12:00,12:40,12:00 - 12:40,"Data Culture, Thought Leadership","Discover how to use Tableau Cloud, Desktop, Prep, and Pulse to create a modern data environment that accelerates data-driven decisions and lays the groundwork for future AI insights."
1145,Driving Content Performance with LLM Text Classification,2025-04-17,10:00,10:40,10:00 - 10:40,Analytics,"Learn how to use Tableau, AI, and LLMs to classify digital content, analyze their performance, and optimize campaign strategies for better engagement and measurable results."
1572,Driving Corporate Travel Success: Proactive Data Strategies,2025-04-16,11:00,11:40,11:00 - 11:40,"Customer Relationships, Visualization","In today’s fast-paced world, being reactive won’t cut it. At Southwest, we use Tableau to turn data into opportunities and provide proactive support, helping travel managers solve problems early."
2072,Driving Engineering Operations at Scale using Tableau,2025-04-15,15:45,16:05,15:45 - 16:05,"Data Strategy, Salesforce on Tableau","Engineering 360: Learn how Salesforce is leveraging Tableau and Data Cloud, transforming complex data into powerful engineering insights, and bringing excellence into engineering operations at scale."
2063,Driving Expansion Using Tableau and AI,2025-04-16,13:45,14:05,13:45 - 14:05,Artificial Intelligence,"Learn how Mimecast is driving expansion across their customer base to power rep productivity by utilizing embedded Tableau, AI and Generative AI to increase conversion rates and deal sizes."
2449,Driving Innovation in Finance & Insurance with AI & Data,2025-04-16,10:30,11:15,10:30 - 11:15,Data Strategy,"Join us for a panel discussion and roundtable with industry leaders in Financial Services and Insurance. Explore how data and AI drive growth, enhance risk management, and improve customer experience."
1246,Driving Tableau Adoption: Real-World Strategies that work,2025-04-17,12:00,12:40,12:00 - 12:40,Democratization,"Driving Tableau adoption with proven strategies: Build a data culture, overcome resistance, and create lasting habits. Discover tips, success stories, and Groww, our platform for interactive learning."
1257,Earn Your Geospatial Stripes,2025-04-16,14:00,14:40,14:00 - 14:40,"DataFam, Visualization","Join two mapmaking connoisseurs for an exciting deep dive into Tableau’s geospatial capabilities—filled with practical tips, design best practices, and inspiration for your next map."
2274,Education Meetup,2025-04-16,13:00,13:45,13:00 - 13:45,,"Network with fellow attendees who work in Education, talk about the projects you tackle, and get inspired by the art of the possible at this meetup!"
1855_slot0,Effortless Dashboard Design: Reuse and Replicate Charts,2025-04-15,13:00,13:40,13:00 - 13:40,"DataFam, Visualization","Good artists borrow, great artists steal. Level up your Tableau game by leveraging existing designs from the DataFam. Learn key techniques for quickly reusing and replicating design patterns."
1855_slot1,Effortless Dashboard Design: Reuse and Replicate Charts,2025-04-16,13:30,14:10,13:30 - 14:10,"DataFam, Visualization","Good artists borrow, great artists steal. Level up your Tableau game by leveraging existing designs from the DataFam. Learn key techniques for quickly reusing and replicating design patterns."
1883,Eliminate the Top 6 Areas of Waste in your BI Environment,2025-04-15,13:45,14:05,13:45 - 14:05,Data Governance,Poor governance wastes money on database/BI usage while hurting user experience. Companies overspend as engagement falls. We'll examine 6 key ways organizations waste money and their solutions.
1943_slot0,"Embedded AAA: Auth, APIs and Apps",2025-04-15,14:00,15:30,14:00 - 15:30,Analytics,"This tour of embedded analytics will showcase how deeply Tableau can be integrated into your customer-facing apps. We’ll cover embedding, authentication by SSO, data security, and more."
1943_slot1,"Embedded AAA: Auth, APIs and Apps",2025-04-16,14:30,16:00,14:30 - 16:00,Analytics,"This tour of embedded analytics will showcase how deeply Tableau can be integrated into your customer-facing apps. We’ll cover embedding, authentication by SSO, data security, and more."
1943_slot2,"Embedded AAA: Auth, APIs and Apps",2025-04-17,08:30,10:00,8:30 - 10:00,Analytics,"This tour of embedded analytics will showcase how deeply Tableau can be integrated into your customer-facing apps. We’ll cover embedding, authentication by SSO, data security, and more."
1964,Embedding Tableau Next Anywhere,2025-04-16,11:30,12:10,11:30 - 12:10,Analytics,Learn how to use Tableau Next’s API-first approach to seamlessly integrate it in any and every application.
1707,Embracing the AI Era: Building a Human-Centered Data Culture,2025-04-16,13:30,13:50,13:30 - 13:50,"Data Culture, DataFam","Whether using Tableau for dashboards or Tableau Pulse for metrics, join us to learn how to foster a culture of empathy that puts people at the center of data, analysis, and decision-making."
1586_slot0,"Emergency! Tableau Dashboard Needed, STAT!",2025-04-16,15:00,15:40,15:00 - 15:40,Visualization,"From the COVID-19 pandemic to the wildfire on Maui, learn how the Hawaii State Department of Education leveraged Tableau during emergencies to aid internal planning and provide public transparency."
1586_slot1,"Emergency! Tableau Dashboard Needed, STAT!",2025-04-17,13:00,13:40,13:00 - 13:40,Visualization,"From the COVID-19 pandemic to the wildfire on Maui, learn how the Hawaii State Department of Education leveraged Tableau during emergencies to aid internal planning and provide public transparency."
1988,Empower Analysts: Future Analytics Experiences with Data Pro,2025-04-17,12:30,12:50,12:30 - 12:50,Artificial Intelligence,"Explore how analytics evolves in the agentic era, keeping analysts at the helm to curate data, build trusted models, and drive insights. See how agents empower every analyst to be a data champion!"
1304,Empower Data Adoption: Transforming Analytics with Community,2025-04-15,09:00,09:40,9:00 - 9:40,DataFam,Discover how engaging in community can boost your professional development and drive analytics in your organization. We’ll share use cases and strategies to help you and your business thrive.
1531,Empowering Agents with Data: VizQL Data Service & Agentforce,2025-04-15,09:00,09:40,9:00 - 9:40,"Analytics, Artificial Intelligence","Discover how to integrate VizQL Data Service into Salesforce Agentforce. Learn to use custom actions for agents to pull Tableau data, enabling smarter workflows and real-time, data-driven decisions."
1874,Enterprise-Grade Tableau: Let Your Data Truly Shine,2025-04-16,11:30,12:10,11:30 - 12:10,"Data Governance, Data Strategy","Data shines when analytics is governed, accurate, and trustworthy. Learn how to implement governance frameworks that ensure reliable insights, mitigate risks, and scale AI-driven decision-making."
1984,Expanding Semantic Knowledge Using Agentic Experiences,2025-04-16,12:15,12:35,12:15 - 12:35,Artificial Intelligence,"AI agents are only as powerful as the knowledge they understand. Discover how coaching, business context, and entity definitions refine AI insights, making them more accurate, relevant, and effective."
1428,Explore Metrics with AI: Discover Insights w/ Tableau Pulse,2025-04-16,15:00,15:40,15:00 - 15:40,Artificial Intelligence,"Introducing the new Pulse Discover, a groundbreaking tool that lets you have conversations with AI, exploring connections across metrics and surfacing insights in an intuitive, conversational way."
1902_slot0,"Exploring Tableau Cloud: Your Data, Anywhere",2025-04-15,14:00,15:30,14:00 - 15:30,Analytics,"Learn to access Tableau Cloud, build and publish dashboards, set alerts, and manage permissions. Gain hands-on experience with data visualization and collaboration to turn insights into action."
1902_slot1,"Exploring Tableau Cloud: Your Data, Anywhere",2025-04-16,12:00,13:30,12:00 - 13:30,Analytics,"Learn to access Tableau Cloud, build and publish dashboards, set alerts, and manage permissions. Gain hands-on experience with data visualization and collaboration to turn insights into action."
1902_slot2,"Exploring Tableau Cloud: Your Data, Anywhere",2025-04-17,10:30,12:00,10:30 - 12:00,Analytics,"Learn to access Tableau Cloud, build and publish dashboards, set alerts, and manage permissions. Gain hands-on experience with data visualization and collaboration to turn insights into action."
1831_slot0,Exploring Tableau Public with Agentforce as Your AI Guide,2025-04-15,11:30,11:50,11:30 - 11:50,"Analytics, Artificial Intelligence","It’s time to kickstart your analytics journey and unlock your data superpowers as we help you explore the richness of Tableau Public with Agentforce, your AI-Powered Guide to Data Visualization."
1831_slot1,Exploring Tableau Public with Agentforce as Your AI Guide,2025-04-17,10:30,10:50,10:30 - 10:50,"Analytics, Artificial Intelligence","It’s time to kickstart your analytics journey and unlock your data superpowers as we help you explore the richness of Tableau Public with Agentforce, your AI-Powered Guide to Data Visualization."
1305_slot0,Exposing the Value of Salesforce with Tableau,2025-04-16,13:30,13:50,13:30 - 13:50,"Connectivity, Customer Relationships",Learn how we were able to use Tableau’s product suite to work with a disconnected data ecosystem and bring key customer information to our sales team in one tool.
1305_slot1,Exposing the Value of Salesforce with Tableau,2025-04-17,10:30,10:50,10:30 - 10:50,"Connectivity, Customer Relationships",Learn how we were able to use Tableau’s product suite to work with a disconnected data ecosystem and bring key customer information to our sales team in one tool.
1022_slot0,"Extend, Enrich, Excel: Using Python with Tableau",2025-04-16,12:00,12:20,12:00 - 12:20,"DataFam, Integration","In this session, we go through all the possible ways Tableau and Python can work together. Whether you are an analyst, data engineer, or developer, there is something here for you."
1022_slot1,"Extend, Enrich, Excel: Using Python with Tableau",2025-04-17,12:00,12:20,12:00 - 12:20,"DataFam, Integration","In this session, we go through all the possible ways Tableau and Python can work together. Whether you are an analyst, data engineer, or developer, there is something here for you."
2008_slot0,Extending Tableau for Enhanced Clinical KPI Reporting,2025-04-15,14:00,14:20,14:00 - 14:20,"Data Strategy, Integration","In this session, we will explore the journey of transforming a legacy application that calculates bonuses for over 10,000 physicians based on complex clinical KPIs."
2008_slot1,Extending Tableau for Enhanced Clinical KPI Reporting,2025-04-16,08:15,08:35,8:15 - 8:35,"Data Strategy, Integration","In this session, we will explore the journey of transforming a legacy application that calculates bonuses for over 10,000 physicians based on complex clinical KPIs."
1886,Fast-Track to Tableau AI with Slalom Tableau Cloud Migration,2025-04-15,14:15,14:35,14:15 - 14:35,Migration,"Discover how Slalom accelerates client migration to Tableau Cloud, unlocking game-changing AI features unique in the cloud and ensuring uninterrupted coverage for your users."
1918_slot0,Feast on Data: Digging into Advanced Table Calculations,2025-04-15,14:30,16:00,14:30 - 16:00,Analytics,"Harness advanced table calcs to solve complex analytical problems in Tableau. Learn to confidently navigate “at the level of,” “Compute Using,” and more head-scratching table calc concepts."
1918_slot1,Feast on Data: Digging into Advanced Table Calculations,2025-04-16,08:30,10:00,8:30 - 10:00,Analytics,"Harness advanced table calcs to solve complex analytical problems in Tableau. Learn to confidently navigate “at the level of,” “Compute Using,” and more head-scratching table calc concepts."
1918_slot2,Feast on Data: Digging into Advanced Table Calculations,2025-04-16,14:00,15:30,14:00 - 15:30,Analytics,"Harness advanced table calcs to solve complex analytical problems in Tableau. Learn to confidently navigate “at the level of,” “Compute Using,” and more head-scratching table calc concepts."
1918_slot3,Feast on Data: Digging into Advanced Table Calculations,2025-04-17,08:30,10:00,8:30 - 10:00,Analytics,"Harness advanced table calcs to solve complex analytical problems in Tableau. Learn to confidently navigate “at the level of,” “Compute Using,” and more head-scratching table calc concepts."
2271,Financial Services Meetup,2025-04-16,09:00,09:45,9:00 - 9:45,,"Network with fellow attendees who work in Financial Services, talk about the projects you tackle, and get inspired by the art of the possible at this meetup!"
2005,From Data to Action: A Unified Approach,2025-04-15,15:00,15:40,15:00 - 15:40,Data Strategy,"Empower AI and agents with trusted data from an E2E unified system. Join us to learn how automation, AI, and analytics, all fueled by a unified data strategy, can transform business outcomes."
1138,From Idea to Insight: The H-E-B Retail Media Experience,2025-04-16,09:15,09:35,9:15 - 9:35,Visualization,"Have a great dashboard idea but unsure how to bring it to life? From concept to execution, learn the framework H-E-B Retail Media uses to design effective dashboards and impress your stakeholders."
1653,From Pit Stop to Podium: IoT Data on the Salesforce Platform,2025-04-16,08:15,08:35,8:15 - 8:35,"Data Strategy, Integration",Learn how you can build a fun IoT solution with Tableau and Data Cloud. Be blazing fast to unravel the Salesforce Platform and build end-to-end customer experiences.
1944_slot0,From Playground to Production: Embedded Tableau Basics,2025-04-15,08:00,09:30,8:00 - 9:30,Analytics,Explore Embedded Analytics. Meet Tableau’s Embedding Playground and learn how to leverage JavaScript to embed Tableau analytics into your websites and apps.
1944_slot1,From Playground to Production: Embedded Tableau Basics,2025-04-16,12:00,13:30,12:00 - 13:30,Analytics,Explore Embedded Analytics. Meet Tableau’s Embedding Playground and learn how to leverage JavaScript to embed Tableau analytics into your websites and apps.
1944_slot2,From Playground to Production: Embedded Tableau Basics,2025-04-17,12:30,14:00,12:30 - 14:00,Analytics,Explore Embedded Analytics. Meet Tableau’s Embedding Playground and learn how to leverage JavaScript to embed Tableau analytics into your websites and apps.
1908_slot0,From Rookie to Data Rockstar: 50 Essential Tableau Tips,2025-04-15,08:00,09:30,8:00 - 9:30,Analytics,"Master shortcuts, advanced visuals, and best practices to enhance data analysis. Boost productivity and create dynamic dashboards that captivate and inform"
1908_slot1,From Rookie to Data Rockstar: 50 Essential Tableau Tips,2025-04-15,12:00,13:30,12:00 - 13:30,Analytics,"Master shortcuts, advanced visuals, and best practices to enhance data analysis. Boost productivity and create dynamic dashboards that captivate and inform"
1908_slot2,From Rookie to Data Rockstar: 50 Essential Tableau Tips,2025-04-16,10:00,11:30,10:00 - 11:30,Analytics,"Master shortcuts, advanced visuals, and best practices to enhance data analysis. Boost productivity and create dynamic dashboards that captivate and inform"
1908_slot3,From Rookie to Data Rockstar: 50 Essential Tableau Tips,2025-04-16,14:30,16:00,14:30 - 16:00,Analytics,"Master shortcuts, advanced visuals, and best practices to enhance data analysis. Boost productivity and create dynamic dashboards that captivate and inform"
1916_slot0,From Static to Dynamic: A Guide to Sets and Parameters,2025-04-15,08:00,09:30,8:00 - 9:30,Analytics,"Unlock the power of sets and parameters to build dynamic, interactive visuals. Learn to enhance filtering, comparisons, and user-driven analysis, making your dashboards more flexible and insightful."
1916_slot1,From Static to Dynamic: A Guide to Sets and Parameters,2025-04-16,10:30,12:00,10:30 - 12:00,Analytics,"Unlock the power of sets and parameters to build dynamic, interactive visuals. Learn to enhance filtering, comparisons, and user-driven analysis, making your dashboards more flexible and insightful."
1916_slot2,From Static to Dynamic: A Guide to Sets and Parameters,2025-04-17,10:30,12:00,10:30 - 12:00,Analytics,"Unlock the power of sets and parameters to build dynamic, interactive visuals. Learn to enhance filtering, comparisons, and user-driven analysis, making your dashboards more flexible and insightful."
1916_slot3,From Static to Dynamic: A Guide to Sets and Parameters,2025-04-17,14:00,15:30,14:00 - 15:30,Analytics,"Unlock the power of sets and parameters to build dynamic, interactive visuals. Learn to enhance filtering, comparisons, and user-driven analysis, making your dashboards more flexible and insightful."
1882,Get Ready for Premium Viz Extensions,2025-04-15,13:15,13:35,13:15 - 13:35,Visualization,"Be amazed how premium Viz Extensions can supercharge Tableau. Add new visualizations, Excel-like tables, write-back functionalities, PowerKPIs, and much more. Stay in the flow and take action."
1911_slot0,Getting Started with Tableau Desktop,2025-04-15,14:30,16:00,14:30 - 16:00,Analytics,"Learn the basics of Tableau: how to connect to data, build visualizations, apply filters, and finish with an interactive dashboard."
1911_slot1,Getting Started with Tableau Desktop,2025-04-16,08:30,10:00,8:30 - 10:00,Analytics,"Learn the basics of Tableau: how to connect to data, build visualizations, apply filters, and finish with an interactive dashboard."
1911_slot2,Getting Started with Tableau Desktop,2025-04-17,10:00,11:30,10:00 - 11:30,Analytics,"Learn the basics of Tableau: how to connect to data, build visualizations, apply filters, and finish with an interactive dashboard."
1911_slot3,Getting Started with Tableau Desktop,2025-04-17,14:00,15:30,14:00 - 15:30,Analytics,"Learn the basics of Tableau: how to connect to data, build visualizations, apply filters, and finish with an interactive dashboard."
1937_slot0,Gettin’ Vizzy Wit It!,2025-04-15,14:00,15:30,14:00 - 15:30,Visualization,"Need to go beyond “Show me”? Don’t have access to Viz Extensions? Dive into the “how” behind advanced vizzes. We’ll walk through lollipops, donut grids, radar charts, hex tiles, sun bursts, and more."
1937_slot1,Gettin’ Vizzy Wit It!,2025-04-16,10:30,12:00,10:30 - 12:00,Visualization,"Need to go beyond “Show me”? Don’t have access to Viz Extensions? Dive into the “how” behind advanced vizzes. We’ll walk through lollipops, donut grids, radar charts, hex tiles, sun bursts, and more."
1937_slot2,Gettin’ Vizzy Wit It!,2025-04-17,08:30,10:00,8:30 - 10:00,Visualization,"Need to go beyond “Show me”? Don’t have access to Viz Extensions? Dive into the “how” behind advanced vizzes. We’ll walk through lollipops, donut grids, radar charts, hex tiles, sun bursts, and more."
1937_slot3,Gettin’ Vizzy Wit It!,2025-04-17,12:30,14:00,12:30 - 14:00,Visualization,"Need to go beyond “Show me”? Don’t have access to Viz Extensions? Dive into the “how” behind advanced vizzes. We’ll walk through lollipops, donut grids, radar charts, hex tiles, sun bursts, and more."
1844,"Ghosts of Past, Present, and Future: A Documentation Guide",2025-04-16,13:00,13:40,13:00 - 13:40,"Data Governance, DataFam",Have you been asked to maintain or fix a dashboard you didn’t create? Don’t panic. Learn how to create clear and effective Tableau dashboard documentation for easy troubleshooting or hand-off.
1912_slot0,Give Your Analytics an Agentic Edge with Tableau Agent,2025-04-15,12:30,14:00,12:30 - 14:00,Analytics,"Boost your analytics with AI. Use Tableau Agent to draft data source descriptions, create calculated fields, and build views — all with natural language. Smarter insights, less effort."
1912_slot1,Give Your Analytics an Agentic Edge with Tableau Agent,2025-04-16,08:30,10:00,8:30 - 10:00,Analytics,"Boost your analytics with AI. Use Tableau Agent to draft data source descriptions, create calculated fields, and build views — all with natural language. Smarter insights, less effort."
1912_slot2,Give Your Analytics an Agentic Edge with Tableau Agent,2025-04-17,08:30,10:00,8:30 - 10:00,Analytics,"Boost your analytics with AI. Use Tableau Agent to draft data source descriptions, create calculated fields, and build views — all with natural language. Smarter insights, less effort."
1912_slot3,Give Your Analytics an Agentic Edge with Tableau Agent,2025-04-17,14:30,16:00,14:30 - 16:00,Analytics,"Boost your analytics with AI. Use Tableau Agent to draft data source descriptions, create calculated fields, and build views — all with natural language. Smarter insights, less effort."
1686,Great Scott! Generating Gigawatts of Insights with Tableau+,2025-04-15,08:00,08:40,8:00 - 8:40,"Artificial Intelligence, Migration","Through the science of time travel, see how Edward Jones jumped from a single server on-prem to Tableau+ in the cloud, and learn how you can build a time machine to travel to your future state."
